"Datos Fecha 02/01/2025 6:36 a.m a 07/01/2025 01:58 pm","","","","","","","","",""
"","","","","","","","","",""
"ID Rotulo","Referencia","Color","Tipo","Capas","Pedido","GramosGranel","JuegosGranel","FechaProducción","fecha Ingreso"
"45706","D-I","A1 ZEN","Diente","2C","11248","92","100","12/27/2024","1/7/2025 13:58"
"45734","34L-S","B3","Muela","2C","RESISTAL","595","201","12/28/2024","1/7/2025 13:58"
"45747","XV-S","A4","Muela","2C","11248","124","62","12/28/2024","1/7/2025 13:58"
"45721","A25S4C","A2 PLUS","Diente","4C","1","125","69.4","12/27/2024","1/7/2025 13:58"
"45738","V8-I","A2 ZEN","Muela","2C","11248","225","76","12/28/2024","1/7/2025 13:57"
"45698","1N-I","A3 ZEN","Diente","2C","11248","133","126.7","12/27/2024","1/7/2025 13:57"
"45704","3P-I","A1 ZEN","Diente","2C","11248","72","63.2","12/27/2024","1/7/2025 13:32"
"45759","S5-I","A2 PLUS","Diente","4C","1","154","120.3","12/28/2024","1/7/2025 13:32"
"45737","3B-S","A2 ZEN","Diente","2C","11248","46","50","12/28/2024","1/7/2025 13:31"
"45743","A26-S","A4","Diente","2C","RESISTAL","458","322.5","12/28/2024","1/7/2025 13:31"
"45754","3M-I","B2 ZEN","Diente","2C","11248","77","100","12/28/2024","1/7/2025 13:31"
"45614","2P-S","A3 ZEN","Diente","2C","11248","13","7.6","12/23/2024","1/7/2025 13:28"
"45725","267-S","A2 ZEN","Diente","2C","11248","114","49.1","12/28/2024","1/7/2025 13:27"
"45825","32L-S","B2","Muela","2C","RESISTAL","498","203.3","1/3/2025","1/7/2025 13:27"
"45632","S5-I","A1 PLUS","Diente","4C","1","13","10.2","12/23/2024","1/7/2025 13:27"
"45742","2P-S","B3","Diente","2C","RESISTAL","166","96.5","12/28/2024","1/7/2025 13:26"
"45745","137-S","A4","Diente","2C","RESISTAL","110","57.6","12/28/2024","1/7/2025 13:26"
"11167","P4-S","D2 PLUS","Muela","4C","UHLER","51","14","1/12/2023","1/7/2025 13:03"
"13096","P4-S","D2 PLUS","Muela","4C","","42","11.5","","1/7/2025 13:02"
"2743","P3-S","D2 PLUS","Muela","4C","UHLER","19","7.3","8/10/2022","1/7/2025 13:01"
"38363","P6-S","A3 PLUS","Muela","4C","11119","26","6.5","5/14/2024","1/7/2025 13:01"
"23075","32F-S4C","D2 PLUS","Muela","4C","","24","12.9","6/28/2023","1/7/2025 13:00"
"28605","P5-S","D2 PLUS","Muela","4C","10951","71","27.8","10/18/2023","1/7/2025 13:00"
"32759","P6-S","D2 PLUS","Muela","4C","11007","63","15.6","1/14/2024","1/7/2025 12:59"
"23076","32F-I4C","D2 PLUS","Muela","4C","","17","8.8","6/28/2023","1/7/2025 12:59"
"13253","P3-S","D2","Muela","4C","","16","6.2","","1/7/2025 12:59"
"25765","P5-I","D2 PLUS","Muela","4C","NAL 4C","108","41.5","8/22/2023","1/7/2025 12:58"
"13156","PU3-I","D2","Muela","2C","","76","20.5","","1/7/2025 12:58"
"13149","P4-I","D2 PLUS","Muela","4C","10647","42","11.6","","1/7/2025 12:57"
"25327","P5-I","D2 PLUS","Muela","4C","10713","61","23.5","8/12/2023","1/7/2025 12:57"
"13147","P4-I","D2 PLUS","Muela","4C","10647","81","22.3","","1/7/2025 12:56"
"13150","P3-I","D2 PLUS","Muela","4C","","30","12.1","","1/7/2025 12:55"
"37121","S15-S","D2 PLUS","Diente","4C","11080","16","6.7","4/16/2024","1/7/2025 12:55"
"35529","S24B-S","D2 PLUS","Diente","4C","11044","30","15","3/10/2024","1/7/2025 12:54"
"13107","3P-S4C","D2 PLUS","Diente","4C","","16","8.4","","1/7/2025 12:54"
"23077","3P-S4C","D2 PLUS","Diente","4C","","64","33.7","6/28/2023","1/7/2025 12:53"
"13127","S12-S","D2 PLUS","Diente","4C","","62","41.3","","1/7/2025 12:53"
"25326","S27-S","D2 PLUS","Diente","4C","10713","56","23.1","8/12/2023","1/7/2025 12:52"
"13128","A25S4C","D2 PLUS","Diente","4C","","13","7.2","","1/7/2025 12:52"
"13124","SE22-S","D2 PLUS","Diente","4C","","76","42.7","","1/7/2025 12:51"
"20077","S68-S","D2 PLUS","Diente","4C","11147","82","43.6","5/9/2023","1/7/2025 12:51"
"20078","S52-S","D2 PLUS","Diente","4C","NAL 4C","67","48.6","5/9/2023","1/7/2025 12:51"
"13101","SE22-S","D2 PLUS","Diente","4C","","21","11.8","","1/7/2025 12:50"
"13114","S42-S","D3 PLUS","Diente","4C","","36","21.4","","1/7/2025 12:50"
"37122","3N-S4C","D2 PLUS","Diente","4C","11080","26","14.4","4/16/2024","1/7/2025 12:50"
